code,name,ticker
002273,水晶光电,002273.sz
002274,华昌化工,002274.sz
002275,桂林三金,002275.sz
002276,万马股份,002276.sz
002277,友阿股份,002277.sz
002278,神开股份,002278.sz
002279,久其软件,002279.sz
002281,光迅科技,002281.sz
002282,博深股份,002282.sz
002283,天润工业,002283.sz
002284,亚太股份,002284.sz
002285,世联行,002285.sz
002286,保龄宝,002286.sz
002287,奇正藏药,002287.sz
002289,ST宇顺,002289.sz
002290,禾盛新材,002290.sz
002291,遥望科技,002291.sz
002292,奥飞娱乐,002292.sz
002293,罗莱生活,002293.sz
002294,信立泰,002294.sz
002295,精艺股份,002295.sz
002296,辉煌科技,002296.sz
002297,博云新材,002297.sz
002298,中电兴发,002298.sz
002299,圣农发展,002299.sz
002300,太阳电缆,002300.sz
002301,齐心集团,002301.sz
002302,西部建设,002302.sz
002303,美盈森,002303.sz
002304,洋河股份,002304.sz
002305,南国置业,002305.sz
002306,中科云网,002306.sz
002307,北新路桥,002307.sz
002309,*ST中利,002309.sz
002310,*ST东园,002310.sz
002311,海大集团,002311.sz
002312,川发龙蟒,002312.sz
002313,日海智能,002313.sz
002314,南山控股,002314.sz
002315,焦点科技,002315.sz
002316,ST亚联,002316.sz
002317,众生药业,002317.sz
002318,久立特材,002318.sz
002319,乐通股份,002319.sz
002320,海峡股份,002320.sz
002321,华英农业,002321.sz
002322,理工能科,002322.sz
002323,雅博股份,002323.sz
002324,普利特,002324.sz
002326,永太科技,002326.sz
002327,富安娜,002327.sz
002328,新朋股份,002328.sz
002329,皇氏集团,002329.sz
002330,得利斯,002330.sz
002331,皖通科技,002331.sz
002332,仙琚制药,002332.sz
002333,罗普斯金,002333.sz
002334,英威腾,002334.sz
002335,科华数据,002335.sz
002336,*ST人乐,002336.sz
002337,赛象科技,002337.sz
002338,奥普光电,002338.sz
002339,积成电子,002339.sz
002340,格林美,002340.sz
002342,巨力索具,002342.sz
002343,慈文传媒,002343.sz
002344,海宁皮城,002344.sz
002345,潮宏基,002345.sz
002346,柘中股份,002346.sz
002347,泰尔股份,002347.sz
002348,高乐股份,002348.sz
002349,精华制药,002349.sz
002350,北京科锐,002350.sz
002351,漫步者,002351.sz
002352,顺丰控股,002352.sz
002353,杰瑞股份,002353.sz
002354,天娱数科,002354.sz
002355,兴民智通,002355.sz
002356,赫美集团,002356.sz
002357,富临运业,002357.sz
002358,森源电气,002358.sz
002360,同德化工,002360.sz
002361,神剑股份,002361.sz
002362,汉王科技,002362.sz
002363,隆基机械,002363.sz
002364,中恒电气,002364.sz
002365,永安药业,002365.sz
002366,融发核电,002366.sz
002367,康力电梯,002367.sz
002368,太极股份,002368.sz
002369,卓翼科技,002369.sz
002370,亚太药业,002370.sz
002371,北方华创,002371.sz
002372,伟星新材,002372.sz
002373,千方科技,002373.sz
002374,中锐股份,002374.sz
002375,亚厦股份,002375.sz
002376,新北洋,002376.sz
002377,国创高新,002377.sz
002378,章源钨业,002378.sz
002379,宏创控股,002379.sz
002380,科远智慧,002380.sz
002381,双箭股份,002381.sz
002382,蓝帆医疗,002382.sz
002383,合众思壮,002383.sz
002384,东山精密,002384.sz
002385,大北农,002385.sz
002386,天原股份,002386.sz
002387,维信诺,002387.sz
002388,新亚制程,002388.sz
002389,航天彩虹,002389.sz
002390,信邦制药,002390.sz
002391,长青股份,002391.sz
002392,北京利尔,002392.sz
002393,力生制药,002393.sz
002394,联发股份,002394.sz
002395,双象股份,002395.sz
002396,星网锐捷,002396.sz
002397,梦洁股份,002397.sz
002398,垒知集团,002398.sz
002399,海普瑞,002399.sz
002400,省广集团,002400.sz
002401,中远海科,002401.sz
002402,和而泰,002402.sz
002403,爱仕达,002403.sz
002404,嘉欣丝绸,002404.sz
002405,四维图新,002405.sz
002406,远东传动,002406.sz
002407,多氟多,002407.sz
002408,齐翔腾达,002408.sz
002409,雅克科技,002409.sz
002410,广联达,002410.sz
002412,汉森制药,002412.sz
